gutenberg id,title,authors
10133,"The Vigil of Venus and Other Poems by ""Q""","frozenset({'Quiller-Couch, Arthur'})"
10134,"John Wesley, Jr.","frozenset({'Brummitt, Dan B. (Dan Brearley)'})"
10135,"The Great English Short-Story Writers, Vol. 1",frozenset()
10136,The Book of Household Management,"frozenset({'Beeton, Mrs. (Isabella Mary)'})"
10138,"The Atlantic Monthly, Volume 1, Issue 2, December, 1857",frozenset({'Various'})
10139,The Faith of the Millions (2nd series),"frozenset({'Tyrrell, George'})"
1013,The First Men In The Moon,"frozenset({'Wells, H. G. (Herbert George)'})"
10141,"A Discourse on the Life, Character and Writings of Gulian Crommelin","frozenset({'Bryant, William Cullen'})"
10142,Maezli,"frozenset({'Spyri, Johanna'})"
10143,"Punch, Volume 153, July 11, 1917",frozenset({'Various'})
10144,"Punchinello, Vol. II., No. 35, November 26, 1870",frozenset({'Various'})
10145,Turkey: A Past and a Future,"frozenset({'Toynbee, Arnold'})"
10146,Reminiscences of Pioneer Days in St. Paul,"frozenset({'Moore, Frank'})"
10147,America's War for Humanity,"frozenset({'Russell, Thomas Herbert'})"
10148,The Merry Adventures of Robin Hood,"frozenset({'Pyle, Howard'})"
10149,Home as Found,"frozenset({'Cooper, James Fenimore'})"
1014,The Lure of the Dim Trails,"frozenset({'Bower, B. M.'})"
10150,Dracula's Guest,"frozenset({'Stoker, Bram'})"
10151,"The Great Events by Famous Historians, Volume 5",frozenset()
10159,England and the War,"frozenset({'Raleigh, Walter Alexander, Sir'})"
1015,The Oregon Trail,"frozenset({'Parkman, Francis'})"
10161,English Poets of the Eighteenth Century,frozenset()
10162,"Dio's Rome, Vol. III",frozenset({'Cassius Dio Cocceianus'})
10163,Mohammedanism,"frozenset({'Snouck Hurgronje, C. (Christiaan)'})"
10164,The Black Creek Stopping-House,"frozenset({'McClung, Nellie L.'})"
10165,Across the Zodiac,"frozenset({'Greg, Percy'})"
10166,What Germany Thinks,"frozenset({'Smith, Thomas F. A.'})"
1016,On the Improvement of the Understanding,"frozenset({'Spinoza, Benedictus de'})"
1019,Poems,"frozenset({'Brontë, Charlotte', 'Brontë, Anne', 'Brontë, Emily'})"
101,Hacker Crackdown,"frozenset({'Sterling, Bruce'})"
10201,The Desert of Wheat,"frozenset({'Grey, Zane'})"
10202,"Maria Mitchell: Life, Letters, and Journals","frozenset({'Mitchell, Maria'})"
1020,Sword Blades and Poppy Seed,"frozenset({'Lowell, Amy'})"
10210,Wolves of the Sea,"frozenset({'Parrish, Randall'})"
10211,At Whispering Pine Lodge,"frozenset({'Leslie, Lawrence J.'})"
10212,Peck's Bad Boy at the Circus,"frozenset({'Peck, George W. (George Wilbur)'})"
10213,The Everlasting Whisper,"frozenset({'Gregory, Jackson'})"
10214,Introduction to the Philosophy and Writings of Plato,"frozenset({'Taylor, Thomas'})"
10216,Poems,"frozenset({'Holley, Marietta'})"
10217,The Land Of Little Rain,"frozenset({'Austin, Mary Hunter'})"
10219,The Poetical Works of William Wordsworth,"frozenset({'Wordsworth, William'})"
1021,The Congo and Other Poems,"frozenset({'Lindsay, Vachel'})"
10220,Daddy Takes Us Skating,"frozenset({'Garis, Howard Roger'})"
10221,Purple Springs,"frozenset({'McClung, Nellie L.'})"
10222,The Pilgrims of New England,"frozenset({'Webb-Peploe, Mrs. (Annie)'})"
10224,Our Little Alaskan Cousin,"frozenset({'Nixon-Roulet, Mary F.'})"
10225,Their Crimes,frozenset()
10226,Beautiful Joe,"frozenset({'Saunders, Marshall'})"
10234,Old Creole Days,"frozenset({'Cable, George Washington'})"
1023,Bleak House,"frozenset({'Dickens, Charles'})"
1024,The Wrecker,"frozenset({'Osbourne, Lloyd', 'Stevenson, Robert Louis'})"
10251,Town Geology,"frozenset({'Kingsley, Charles'})"
10266,The Glands Regulating Personality,"frozenset({'Berman, Louis'})"
10267,The Outdoor Chums,"frozenset({'Allen, Quincy'})"
10268,Patty at Home,"frozenset({'Wells, Carolyn'})"
10274,Sermons on Evil-Speaking,"frozenset({'Barrow, Isaac'})"
1027,The Lone Star Ranger,"frozenset({'Grey, Zane'})"
1028,The Professor,"frozenset({'Brontë, Charlotte'})"
10291,In The Fourth Year,"frozenset({'Wells, H. G. (Herbert George)'})"
10292,"Punchinello, Vol. 2, No. 36, December 3, 1870",frozenset({'Various'})
10294,Verse and Prose for Beginners in Reading,frozenset()
1029,The Night-Born,"frozenset({'London, Jack'})"
102,The Tragedy of Pudd'nhead Wilson,"frozenset({'Twain, Mark'})"
10310,Audio: After Dinner Toast at Little Menlo,"frozenset({'Sullivan, Arthur'})"
10314,Sonnets,"frozenset({'Michelangelo Buonarroti', 'Campanella, Tommaso'})"
10315,"Persian Literature, Volume 1,Comprising The Shah Nameh, The","frozenset({'Hafiz, active 14th century', 'Firdawsi', 'Omar Khayyam'})"
10316,Roy Blakeley's Adventures in Camp,"frozenset({'Fitzhugh, Percy Keese'})"
10317,Betty Gordon at Boarding School,"frozenset({'Emerson, Alice B.'})"
10318,Damon and Delia,"frozenset({'Godwin, William'})"
10319,Dave Darrin's Third Year at Annapolis,"frozenset({'Hancock, H. Irving (Harrie Irving)'})"
10320,Dotty Dimple at Play,"frozenset({'May, Sophie'})"
